"person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","age_flag","person_emp_flag","income_group","loan_status_text"
21,9600.00,OWN,5,EDUCATION,B,1000.00,11.14,"0",0.10,N,2,Valid,Valid,Low,Non-Default
25,9600.00,MORTGAGE,1,MEDICAL,C,5500.00,12.87,"1",0.57,N,3,Valid,Valid,Low,Default
23,65500.00,RENT,4,MEDICAL,C,35000.00,15.23,"1",0.53,N,2,Valid,Valid,High,Default
24,54400.00,RENT,8,MEDICAL,C,35000.00,14.27,"1",0.55,Y,4,Valid,Valid,High,Default
21,9900.00,OWN,2,VENTURE,A,2500.00,7.14,"1",0.25,N,2,Valid,Valid,Low,Default
26,77100.00,RENT,8,EDUCATION,B,35000.00,12.42,"1",0.45,N,3,Valid,Valid,High,Default
24,78956.00,RENT,5,MEDICAL,B,35000.00,11.11,"1",0.44,N,4,Valid,Valid,High,Default
24,83000.00,RENT,8,PERSONAL,A,35000.00,8.90,"1",0.42,N,2,Valid,Valid,High,Default
21,10000.00,OWN,6,VENTURE,D,1600.00,14.74,"1",0.16,N,3,Valid,Valid,Low,Default
22,85000.00,RENT,6,VENTURE,B,35000.00,10.37,"1",0.41,N,4,Valid,Valid,High,Default
21,10000.00,OWN,2,HOMEIMPROVEMENT,A,4500.00,8.63,"1",0.45,N,2,Valid,Valid,Low,Default
23,95000.00,RENT,2,VENTURE,A,35000.00,7.90,"1",0.37,N,2,Valid,Valid,High,Default
26,108160.00,RENT,4,EDUCATION,E,35000.00,18.39,"1",0.32,N,4,Valid,Valid,High,Default
23,115000.00,RENT,2,EDUCATION,A,35000.00,7.90,"0",0.30,N,4,Valid,Valid,High,Non-Default
23,500000.00,MORTGAGE,7,DEBTCONSOLIDATION,B,30000.00,10.65,"0",0.06,N,3,Valid,Valid,High,Non-Default
23,120000.00,RENT,6,EDUCATION,A,35000.00,7.90,"0",0.29,N,4,Valid,Valid,High,Non-Default
23,92111.00,RENT,7,MEDICAL,F,35000.00,20.25,"1",0.32,N,4,Valid,Valid,High,Default
23,113000.00,RENT,8,DEBTCONSOLIDATION,D,35000.00,18.25,"1",0.31,N,4,Valid,Valid,High,Default
24,10800.00,MORTGAGE,8,EDUCATION,B,1750.00,10.99,"1",0.16,N,2,Valid,Valid,Low,Default
25,162500.00,RENT,2,VENTURE,A,35000.00,7.49,"0",0.22,N,4,Valid,Valid,High,Non-Default
25,137000.00,RENT,9,PERSONAL,E,34800.00,16.77,"0",0.25,Y,2,Valid,Valid,High,Non-Default
22,65000.00,RENT,4,EDUCATION,D,34000.00,17.58,"1",0.52,N,4,Valid,Valid,High,Default
